goos: windows
goarch: amd64
pkg: github.com/zelr0x/chainyq/deque
cpu: 11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz
BenchmarkPushBack/chainyq.Deque-12 	280062194	         3.689 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque-12 	372293773	         4.026 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque-12 	349292202	         3.458 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque-12 	332911552	         3.467 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque-12 	335895374	         3.180 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque-12 	370497528	         3.385 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque-12 	371262661	         3.273 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque-12 	357118836	         3.224 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque-12 	359653041	         3.246 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque-12 	366225913	         3.243 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque_Reserve-12         	379576927	         3.222 ns/op	       7 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque_Reserve-12         	376817200	         3.161 ns/op	       7 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque_Reserve-12         	376728595	         3.185 ns/op	       7 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque_Reserve-12         	378345400	         3.237 ns/op	       7 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque_Reserve-12         	386467828	         3.271 ns/op	       7 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque_Reserve-12         	386166982	         3.186 ns/op	       7 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque_Reserve-12         	375971180	         3.195 ns/op	       7 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque_Reserve-12         	381524546	         3.328 ns/op	       7 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque_Reserve-12         	370648470	         3.088 ns/op	       7 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque_Reserve-12         	372655510	         3.218 ns/op	       7 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque_Ensure-12          	470978500	         2.788 ns/op	       0 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque_Ensure-12          	459395205	         2.571 ns/op	       0 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque_Ensure-12          	480239926	         2.491 ns/op	       0 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque_Ensure-12          	459170905	         2.543 ns/op	       0 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque_Ensure-12          	484641312	         2.510 ns/op	       0 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque_Ensure-12          	485008977	         2.482 ns/op	       0 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque_Ensure-12          	486800406	         2.499 ns/op	       0 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque_Ensure-12          	471343863	         2.523 ns/op	       0 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque_Ensure-12          	473333942	         2.498 ns/op	       0 B/op	       0 allocs/op
BenchmarkPushBack/chainyq.Deque_Ensure-12          	443554214	         2.489 ns/op	       0 B/op	       0 allocs/op
BenchmarkPushBack/edwingeng.Deque-12               	251053220	         4.707 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushBack/edwingeng.Deque-12               	240153409	         4.876 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushBack/edwingeng.Deque-12               	245126726	         4.796 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushBack/edwingeng.Deque-12               	247619907	         4.892 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushBack/edwingeng.Deque-12               	249366193	         5.079 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushBack/edwingeng.Deque-12               	247019655	         4.923 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushBack/edwingeng.Deque-12               	245449558	         4.929 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushBack/edwingeng.Deque-12               	243892390	         5.076 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushBack/edwingeng.Deque-12               	240241874	         4.839 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushBack/edwingeng.Deque-12               	237946710	         4.880 ns/op	       8 B/op	       0 allocs/op
BenchmarkPushBack/gammazero.Deque-12               	321968731	         6.709 ns/op	      13 B/op	       0 allocs/op
